nome_munic,porcentagem_vacinada,doses_aplicadas,populacao,datahora,latitude,longitude,casos,obitos,casos_pc,obitos_pc
CASA BRANCA,0.34095675,10406,30520,2021-06-30,-21.7708,-47.0852,2700,78,9164.34729482045,264.74781073925703
VALPARAÍSO,0.34076504399999996,9140,26822,2021-06-30,-21.2229,-50.8699,2599,69,10834.583958646,287.643821910956
HORTOLÂNDIA,0.33976496100000003,79593,234259,2021-06-30,-22.8529,-47.2143,18933,598,8222.15852832352,259.697396077614
VALENTIM GENTIL,0.33963937299999997,4596,13532,2021-06-30,-20.4217,-50.0889,1853,60,14510.5716523101,469.851213782302
CAMPOS DO JORDÃO,0.33962408200000005,17798,52405,2021-06-30,-22.7296,-45.5833,4679,110,9335.96711760246,219.482022427072
ARUJÁ,0.33882203200000005,30886,91157,2021-06-30,-23.3965,-46.32,7230,292,8056.24888571938,325.369941165983
BOM JESUS DOS PERDÕES,0.33881085200000005,8804,25985,2021-06-30,-23.1356,-46.4675,2004,23,8249.96912436705,94.6852743814582
ALUMÍNIO,0.338519742,6353,18767,2021-06-30,-23.5306,-47.2546,1458,42,8112.61963053639,233.69686178499902
SÃO JOAQUIM DA BARRA,0.33846212700000006,17708,52319,2021-06-30,-20.5812,-47.8593,5793,112,11522.8547559375,222.77917014759103
IBATÉ,0.33790031600000003,11986,35472,2021-06-30,-21.9584,-47.9882,3275,91,9427.71604582878,261.960964937532
REGINÓPOLIS,0.336992986,3315,9837,2021-06-30,-21.8914,-49.2268,291,12,4033.2640332640294,166.320166320166
ITATINGA,0.335787008,7025,20921,2021-06-30,-23.1047,-48.6157,2476,42,12048.6618004866,204.379562043796
PRADÓPOLIS,0.335619257,7341,21873,2021-06-30,-21.3626,-48.0679,1738,36,8313.00521356483,172.19113215669398
NOVA CAMPINA,0.335598377,3309,9860,2021-06-30,-24.1224,-48.9022,777,26,8031.00775193798,268.73385012919897
AMÉRICO BRASILIENSE,0.33556736200000004,13769,41032,2021-06-30,-21.7288,-48.1147,3771,88,9370.573764381379,218.671570210968
ORLÂNDIA,0.334513075,14839,44360,2021-06-30,-20.7169,-47.8852,4270,115,10102.6830076184,272.08631050962896
COTIA,0.33446105800000003,84822,253608,2021-06-30,-23.6022,-46.919,13472,545,5444.904293843771,220.269658561821
MARABÁ PAULISTA,0.333725622,1985,5948,2021-06-30,-22.1068,-51.9617,95,3,1926.58689920909,60.83958629081321
JAÚ,0.333386006,50635,151881,2021-06-30,-22.2936,-48.5592,8550,485,5796.41368089217,328.802413477509
CAMPO LIMPO PAULISTA,0.330286062,28253,85541,2021-06-30,-23.2078,-46.7889,5022,230,6062.14239154052,277.636947442119
GUARACI,0.330202888,3727,11287,2021-06-30,-20.4977,-48.9391,1065,21,9701.22062306431,191.29167425760602
LOUVEIRA,0.329826176,16489,49993,2021-06-30,-23.0856,-46.9484,4152,86,8601.9723212066,178.171873705146
SANTA GERTRUDES,0.329608122,9025,27381,2021-06-30,-22.4572,-47.5272,3379,61,12902.363587765902,232.92221925235802
ITIRAPINA,0.328601729,6042,18387,2021-06-30,-22.2562,-47.8166,1353,32,7883.69653886493,186.45845472555598
DOBRADA,0.328412875,2959,9010,2021-06-30,-21.5155,-48.3935,548,8,6154.53728661276,89.8472596585804
TREMEMBÉ,0.328394182,15669,47714,2021-06-30,-22.9571,-45.5475,2417,33,5256.86197746748,71.7734568706773
SÃO JOSÉ DA BELA VISTA,0.32834821399999997,2942,8960,2021-06-30,-20.5935,-47.6424,273,15,3128.2227569611605,171.880371261602
IPEÚNA,0.328346559,2524,7687,2021-06-30,-22.4355,-47.7151,624,10,8241.97596090345,132.082948091401
ENGENHEIRO COELHO,0.327168337,6952,21249,2021-06-30,-22.4836,-47.211,2374,52,11560.7499391283,253.22619917214502
SUZANO,0.326481656,98127,300559,2021-06-30,-23.5448,-46.3112,20547,808,7060.77621459646,277.661321915313
EMBU DAS ARTES,0.32640714600000004,90263,276535,2021-06-30,-23.6437,-46.8579,9392,521,3468.3703238671997,192.40001477159402
FRANCISCO MORATO,0.325018437,57734,177633,2021-06-30,-23.2792,-46.7448,10543,409,6045.19417670568,234.514314547342
CARAPICUÍBA,0.32443828199999997,130808,403183,2021-06-30,-23.5235,-46.8407,29785,1003,7548.18828275866,254.18273787500198
VOTORANTIM,0.32401556600000003,40048,123599,2021-06-30,-23.5446,-47.4388,9679,430,8077.680598210709,358.859660835893
ÁLVARO DE CARVALHO,0.323094425,1704,5274,2021-06-30,-22.0841,-49.719,154,9,3053.13243457573,178.429817605075
PITANGUEIRAS,0.32240519,12922,40080,2021-06-30,-21.0132,-48.221,4663,144,12085.3203400373,373.21169396641096
AVANHANDAVA,0.322245472,4466,13859,2021-06-30,-21.4584,-49.9509,952,36,7858.6759121677405,297.17682020802397
UBARANA,0.3221875,2062,6400,2021-06-30,-21.165,-49.7198,974,16,16056.7095285196,263.765248928454
